OrderKey;LineNumber;OrderDate;DeliveryDate;CustomerKey;StoreKey;ProductKey;Quantity;UnitPrice;UnitCost
8005;0;08.01.2015;08.01.2015;1754719;540;2157;1;97,425;49,6725
8006;0;08.01.2015;08.01.2015;1426256;660;72;4;35,9625;16,5375
8006;1;08.01.2015;08.01.2015;1426256;660;1187;2;1360;625,408
8006;2;08.01.2015;08.01.2015;1426256;660;2339;2;76,4925;39
8007;0;08.01.2015;08.01.2015;2002567;560;2056;5;149,9925;68,9775
8007;1;08.01.2015;08.01.2015;2002567;560;1596;4;7,596;3,492
8007;2;08.01.2015;08.01.2015;2002567;560;1087;2;572,8;263,408
8007;3;08.01.2015;08.01.2015;2002567;560;2071;1;74,9925;38,235
8008;0;08.01.2015;08.01.2015;2074052;500;1805;3;22,4;11,417
9000;0;09.01.2015;09.01.2015;1599094;550;47;7;112,4625;57,3375
9001;0;09.01.2015;09.01.2015;866858;310;1159;2;2058,76096;682,1135573
9002;0;09.01.2015;09.01.2015;359944;80;180;4;65,2464;33,266208
9003;0;09.01.2015;09.01.2015;1069972;370;963;2;283,09376;93,7906528
9003;1;09.01.2015;09.01.2015;1069972;370;1558;1;451,5768;149,614524
9003;2;09.01.2015;09.01.2015;1069972;370;112;2;123,7825485;41,0132745
9003;3;09.01.2015;09.01.2015;1069972;370;160;5;580,9707184;267,169736
9004;0;09.01.2015;09.01.2015;999968;410;185;2;89,25904;29,5716784
9005;0;09.01.2015;26.01.2015;1993797;999999;1802;1;22,4;11,417
9005;1;09.01.2015;26.01.2015;1993797;999999;1601;2;95,994;44,142
10000;0;10.01.2015;10.01.2015;1279186;520;1609;3;155,994;51,684
10000;1;10.01.2015;10.01.2015;1279186;520;1674;6;4,893;2,492
10000;2;10.01.2015;10.01.2015;1279186;520;1472;1;430,2;197,838
10001;0;10.01.2015;10.01.2015;705594;300;1573;6;29,96208282;13,77981534
10001;1;10.01.2015;10.01.2015;705594;300;1597;1;29,39829384;13,52077716
10001;2;10.01.2015;10.01.2015;705594;300;1282;3;33,84765552;17,25566752
10001;3;10.01.2015;10.01.2015;705594;300;1477;4;406,842318;187,0865161
10001;4;10.01.2015;10.01.2015;705594;300;291;3;243,80064;124,297693
10002;0;10.01.2015;10.01.2015;1452951;440;1114;1;534,4;245,744
10003;0;10.01.2015;10.01.2015;1473073;670;1062;7;499,2;229,568
10003;1;10.01.2015;10.01.2015;1473073;670;1135;5;524,8;241,344
10003;2;10.01.2015;10.01.2015;1473073;670;191;3;52,8;26,92
10003;3;10.01.2015;10.01.2015;1473073;670;1622;6;131,4;43,536
10003;4;10.01.2015;10.01.2015;1473073;670;2073;2;499,455;165,48
10003;5;10.01.2015;10.01.2015;1473073;670;1613;6;65,994;33,648
10003;6;10.01.2015;10.01.2015;1473073;670;163;1;1273,76;422,024
10004;0;10.01.2015;10.01.2015;1031944;420;1798;7;19,87202;10,1301088
10004;1;10.01.2015;10.01.2015;1031944;420;1707;2;32,4098782;14,904015
10005;0;10.01.2015;21.01.2015;222666;999999;299;1;188,1744;95,940576
10005;1;10.01.2015;21.01.2015;222666;999999;684;1;472,8;217,4289
10006;0;10.01.2015;10.01.2015;384894;90;1121;2;824,94144;273,316224
10006;1;10.01.2015;10.01.2015;384894;90;2194;8;106,371135;54,227205
10007;0;10.01.2015;10.01.2015;1159472;410;2490;1;17,8135164;9,0790704
10007;1;10.01.2015;10.01.2015;1159472;410;163;6;840,936352;278,6202448
10007;2;10.01.2015;10.01.2015;1159472;410;1871;1;494,65485;252,189798
10008;0;10.01.2015;10.01.2015;1049930;420;2062;2;99,0250485;45,5389455
10009;0;10.01.2015;10.01.2015;1313088;520;1076;7;1019,2;337,68
10009;1;10.01.2015;10.01.2015;1313088;520;1792;1;30,1;15,344
10010;0;10.01.2015;10.01.2015;467849;230;1032;3;254,636224;117,0920296
10010;1;10.01.2015;10.01.2015;467849;230;151;4;802,4901233;265,8781424
10010;2;10.01.2015;10.01.2015;467849;230;1520;3;426,65112;196,198565
10010;3;10.01.2015;10.01.2015;467849;230;1693;2;4,07688848;1,87252436
12000;0;12.01.2015;12.01.2015;1381558;450;1585;1;13,734;4,548
12000;1;12.01.2015;12.01.2015;1381558;450;1013;1;369,6;122,448
12001;0;12.01.2015;12.01.2015;1357749;450;1691;1;3,773;1,925
12002;0;12.01.2015;12.01.2015;1928189;605;1570;9;716,4;237,366
12002;1;12.01.2015;12.01.2015;1928189;605;2087;4;593,25;272,8125
12003;0;12.01.2015;12.01.2015;901966;370;1181;4;1668,55584;552,8305675
12003;1;12.01.2015;12.01.2015;901966;370;981;2;199,065048;91,53824064
13000;0;13.01.2015;13.01.2015;1799462;430;92;6;112,4925;37,2675
13000;1;13.01.2015;13.01.2015;1799462;430;1638;6;8,334;3,834
13000;2;13.01.2015;13.01.2015;1799462;430;1450;2;554,4;254,952
13000;3;13.01.2015;13.01.2015;1799462;430;1629;3;5,994;3,054
13000;4;13.01.2015;13.01.2015;1799462;430;1667;3;3,85;1,96
13000;5;13.01.2015;13.01.2015;1799462;430;986;3;206,4;94,912
13000;6;13.01.2015;13.01.2015;1799462;430;2110;2;1106,25;366,525
13001;0;13.01.2015;13.01.2015;615821;150;460;2;636,3503125;324,4346875
13002;0;13.01.2015;13.01.2015;143847;20;1635;3;16,83348912;5,57439264
13003;0;13.01.2015;13.01.2015;1795383;605;1599;2;34,728;15,972
13004;0;13.01.2015;13.01.2015;202969;110;1641;1;9,08914572;4,17842244
13005;0;13.01.2015;13.01.2015;390139;90;147;3;2776,032827;919,7507099
14000;0;14.01.2015;14.01.2015;1185065;420;1651;3;63,20532942;29,06441706
14000;1;14.01.2015;14.01.2015;1185065;420;1904;2;443,9464275;204,156098
14001;0;14.01.2015;14.01.2015;1711405;590;1679;3;3,85;1,96
14001;1;14.01.2015;14.01.2015;1711405;590;1635;3;13,734;4,548
14002;0;14.01.2015;14.01.2015;708902;280;1176;5;1358,816;450,2029171
14002;1;14.01.2015;14.01.2015;708902;280;2095;2;939,493875;311,2750215
14003;0;14.01.2015;14.01.2015;591175;220;1660;2;147,7661444;48,95814048
14003;1;14.01.2015;14.01.2015;591175;220;310;4;203,142992;103,5689555
14003;2;14.01.2015;14.01.2015;591175;220;1236;1;255,457408;130,2425136
14003;3;14.01.2015;14.01.2015;591175;220;1258;1;54,33905184;27,70625824
14003;4;14.01.2015;14.01.2015;591175;220;2426;7;25,47143055;12,98730855
14003;5;14.01.2015;14.01.2015;591175;220;418;3;573,1443425;292,2091345
14003;6;14.01.2015;14.01.2015;591175;220;140;10;339,6972059;156,2162814
14004;0;14.01.2015;14.01.2015;1585639;610;57;5;117;59,6475
14004;1;14.01.2015;14.01.2015;1585639;610;1612;2;107,994;49,662
14004;2;14.01.2015;14.01.2015;1585639;610;1647;2;107,994;49,662
14004;3;14.01.2015;14.01.2015;1585639;610;1243;4;300,8;153,36
14004;4;14.01.2015;14.01.2015;1585639;610;1690;3;11,893;3,941
14005;0;14.01.2015;14.01.2015;1735273;460;1589;1;5,994;3,054
14005;1;14.01.2015;14.01.2015;1735273;460;978;5;464;153,728
14006;0;14.01.2015;14.01.2015;451673;220;1620;1;31,07782044;14,2930458
14006;1;14.01.2015;14.01.2015;451673;220;57;10;99,36342;50,65623585
14006;2;14.01.2015;14.01.2015;451673;220;145;3;1970,276406;652,7887946
14007;0;14.01.2015;14.01.2015;1046812;360;1727;2;25,810456;11,86820075
14007;1;14.01.2015;14.01.2015;1046812;360;152;6;624,1758377;206,7996944
14007;2;14.01.2015;14.01.2015;1046812;360;1766;2;24,888654;11,44417183
15000;0;15.01.2015;15.01.2015;375318;90;79;2;35,98954425;16,55252775
15000;1;15.01.2015;15.01.2015;375318;90;1247;4;94,65146592;48,26296992
15000;2;15.01.2015;15.01.2015;375318;90;335;9;822,685776;272,5750157
15000;3;15.01.2015;15.01.2015;375318;90;1263;1;132,5196259;67,55679744
15001;0;15.01.2015;15.01.2015;1383676;590;1635;3;13,734;4,548
15001;1;15.01.2015;15.01.2015;1383676;590;1742;2;19,6;9,996
15001;2;15.01.2015;15.01.2015;1383676;590;1613;2;65,994;33,648
15001;3;15.01.2015;15.01.2015;1383676;590;1655;1;173,994;57,648
15002;0;15.01.2015;15.01.2015;245887;90;2023;1;88,74462465;45,2465343
15002;1;15.01.2015;15.01.2015;245887;90;2233;4;204,1241747;93,8657016
15002;2;15.01.2015;15.01.2015;245887;90;1625;1;155,496132;51,51963168
15002;3;15.01.2015;15.01.2015;245887;90;2360;3;177,4981247;90,4930686
15003;0;15.01.2015;25.01.2015;1097738;999999;5;5;10,6007922;5,40606
15003;2;15.01.2015;25.01.2015;1097738;999999;1630;7;8,99961552;2,98021344
15004;0;15.01.2015;15.01.2015;1695307;605;985;10;369,6;122,448
15005;0;15.01.2015;15.01.2015;1539270;630;1920;3;97,4925;49,7025
15005;1;15.01.2015;15.01.2015;1539270;630;1422;1;541,8;249,156
15005;2;15.01.2015;15.01.2015;1539270;630;1617;2;34,794;16,002
15006;0;15.01.2015;15.01.2015;1161348;410;1659;8;102,2197483;33,86749152
15006;1;15.01.2015;15.01.2015;1161348;410;2473;1;14,7388854;7,5144234
15007;0;15.01.2015;15.01.2015;1591398;560;1721;9;49,091;22,575
15007;1;15.01.2015;15.01.2015;1591398;560;1258;3;63,984;32,624
15007;2;15.01.2015;15.01.2015;1591398;560;1633;2;8,334;3,834
15008;0;15.01.2015;15.01.2015;282982;110;1215;2;302,94528;154,4452906
16000;0;16.01.2015;16.01.2015;1500461;580;1628;1;8,334;3,834
16001;0;16.01.2015;16.01.2015;433038;200;119;1;82,83725632;42,22981056
16001;1;16.01.2015;16.01.2015;433038;200;1623;1;113,392944;37,56982656
16002;0;16.01.2015;16.01.2015;1975564;440;1607;3;107,994;49,662
16003;0;16.01.2015;16.01.2015;542038;250;1626;4;113,392944;37,56982656
16003;1;16.01.2015;16.01.2015;542038;250;1060;6;865,721472;286,8340966
16003;2;16.01.2015;16.01.2015;542038;250;2161;3;105,49686;53,783982
16004;0;16.01.2015;16.01.2015;1797449;430;90;4;112,4925;37,2675
16004;1;16.01.2015;16.01.2015;1797449;430;677;1;197,5;100,7
16004;2;16.01.2015;16.01.2015;1797449;430;1625;1;131,4;43,536
16004;3;16.01.2015;16.01.2015;1797449;430;2510;1;7,308;3,726
16005;0;16.01.2015;16.01.2015;913985;360;1598;1;22,88714112;10,52618688
16005;1;16.01.2015;16.01.2015;913985;360;1764;3;21,5901504;11,00728608
16005;2;16.01.2015;16.01.2015;913985;360;164;1;839,4587904;278,130697
17000;0;17.01.2015;17.01.2015;924770;390;46;6;74,117286;37,787706
17000;1;17.01.2015;17.01.2015;924770;390;558;1;492,6324;163,211256
17000;2;17.01.2015;17.01.2015;924770;390;2467;1;15,3177372;7,809624
17001;0;17.01.2015;17.01.2015;1789541;660;1626;3;131,4;43,536
17002;0;17.01.2015;28.01.2015;712502;999999;1301;2;131,16992;60,32435584
17002;1;17.01.2015;28.01.2015;712502;999999;1677;3;3,01431928;1,53434288
17002;2;17.01.2015;28.01.2015;712502;999999;1616;3;29,50805424;13,57090896
17003;0;17.01.2015;17.01.2015;355529;72;1676;1;7,57356257;3,47928959
17003;1;17.01.2015;17.01.2015;355529;72;974;3;284,986432;131,055247
17004;0;17.01.2015;17.01.2015;1070013;400;1677;2;2,30202672;1,17177312
17004;1;17.01.2015;17.01.2015;1070013;400;1609;1;102,8062858;34,06182336
17004;2;17.01.2015;17.01.2015;1070013;400;1496;1;341,646336;157,1098637
17004;3;17.01.2015;17.01.2015;1070013;400;1048;2;450,256128;149,1750221
17005;0;17.01.2015;17.01.2015;674069;120;131;1;138,0736;70,39682496
17006;0;17.01.2015;17.01.2015;1078533;370;1461;1;365,371776;168,0235661
17007;0;17.01.2015;17.01.2015;776521;280;1415;3;465,9984;214,2971309
17008;0;17.01.2015;17.01.2015;1126829;410;2088;1;251,09424;128,0135772
17009;0;17.01.2015;17.01.2015;1751193;520;1634;3;5,994;3,054
17009;1;17.01.2015;17.01.2015;1751193;520;1603;4;65,994;33,648
17009;2;17.01.2015;17.01.2015;1751193;520;83;5;74,9925;34,485
17010;0;17.01.2015;17.01.2015;583071;250;1607;1;93,19450224;42,85631952
17010;1;17.01.2015;17.01.2015;583071;250;1312;1;283,05088;130,1619827
19000;0;19.01.2015;19.01.2015;1395545;500;103;2;86,25;39,66
19000;1;19.01.2015;19.01.2015;1395545;500;1195;2;1048;481,936
19000;2;19.01.2015;19.01.2015;1395545;500;89;8;112,4925;37,2675
19001;0;19.01.2015;19.01.2015;801331;350;1694;5;5,3563272;2,4610152
19001;1;19.01.2015;19.01.2015;801331;350;1190;1;227,4888;115,9779264
19001;2;19.01.2015;19.01.2015;801331;350;1623;7;113,22738;37,5149712
19001;3;19.01.2015;19.01.2015;801331;350;245;6;337,09704;155,0163832
19001;4;19.01.2015;19.01.2015;801331;350;108;1;85,94811225;39,526179
19001;5;19.01.2015;19.01.2015;801331;350;948;1;259,19936;119,190344
19002;0;19.01.2015;19.01.2015;312553;72;1561;6;867,075408;287,2780438
19003;0;19.01.2015;19.01.2015;342738;80;1959;1;443,06403;203,7465441
19003;1;19.01.2015;19.01.2015;342738;80;322;2;353,732256;162,6689066
20000;0;20.01.2015;20.01.2015;2072280;450;948;4;300,8;138,32
20000;1;20.01.2015;20.01.2015;2072280;450;421;5;1172,5;539,2
20001;0;20.01.2015;20.01.2015;1503965;540;1942;1;224,9925;114,705
20001;1;20.01.2015;20.01.2015;1503965;540;1192;1;960;441,472
20001;2;20.01.2015;20.01.2015;1503965;540;1611;1;95,994;44,142
20001;3;20.01.2015;20.01.2015;1503965;540;1598;1;34,728;15,972
20001;4;20.01.2015;20.01.2015;1503965;540;297;3;215,2;109,712
20001;5;20.01.2015;20.01.2015;1503965;540;1946;2;674,25;310,065
20002;0;20.01.2015;20.01.2015;1673695;570;1753;3;62,3;28,651
20002;1;20.01.2015;20.01.2015;1673695;570;1621;3;7,794;3,972
20002;2;20.01.2015;20.01.2015;1673695;570;1216;2;992;456,192
20002;3;20.01.2015;20.01.2015;1673695;570;1597;1;34,728;15,972
20002;4;20.01.2015;20.01.2015;1673695;570;1949;3;209,9925;107,0625
20002;5;20.01.2015;20.01.2015;1673695;570;1527;1;482,4;221,832
20002;6;20.01.2015;20.01.2015;1673695;570;190;1;45,52;23,208
20003;0;20.01.2015;20.01.2015;927587;420;1613;1;43,52700264;22,19287488
20003;1;20.01.2015;20.01.2015;927587;420;1265;3;73,86016704;37,65296128
20004;0;20.01.2015;20.01.2015;1371529;480;1210;1;1376;632,768
20004;1;20.01.2015;20.01.2015;1371529;480;1485;3;414;190,386
20004;2;20.01.2015;20.01.2015;1371529;480;1810;3;22,4;11,417
20004;3;20.01.2015;20.01.2015;1371529;480;1699;3;4,816;2,212
20005;0;20.01.2015;20.01.2015;1608064;580;1693;2;4,816;2,212
20005;1;20.01.2015;20.01.2015;1608064;580;1388;4;59,382;27,306
20005;2;20.01.2015;20.01.2015;1608064;580;106;3;99,7425;45,87
21000;0;21.01.2015;21.01.2015;685949;180;89;5;97,03490558;32,14657283
21000;1;21.01.2015;21.01.2015;685949;180;1298;1;34,5036;15,871656
21002;0;21.01.2015;21.01.2015;1198381;370;1771;3;15,748222;8,02696139
21002;1;21.01.2015;21.01.2015;1198381;370;1228;7;1715,10048;568,248785
21002;2;21.01.2015;21.01.2015;1198381;370;1771;1;15,748222;8,02696139
21003;0;21.01.2015;21.01.2015;2044780;605;1596;1;7,596;3,492
21003;1;21.01.2015;21.01.2015;2044780;605;1668;1;4,893;2,492
21004;0;21.01.2015;21.01.2015;1183991;360;72;6;23,79602663;10,94269838
21004;1;21.01.2015;21.01.2015;1183991;360;1660;2;115,1300899;38,14510512
21005;0;21.01.2015;21.01.2015;826380;320;1073;2;811,524672;268,8796541
21005;1;21.01.2015;21.01.2015;826380;320;98;7;77,6331;35,69828715
21005;2;21.01.2015;21.01.2015;826380;320;122;1;193,2132593;88,85367072
21005;3;21.01.2015;21.01.2015;826380;320;1126;2;458,207808;210,7203859
21006;0;21.01.2015;21.01.2015;1625486;540;82;1;30,4125;13,9875
21007;0;21.01.2015;21.01.2015;280627;110;126;2;138,5289888;70,62659952
21007;1;21.01.2015;21.01.2015;280627;110;141;1;289,7999397;147,7449341
21007;2;21.01.2015;21.01.2015;280627;110;2146;4;1494,33075;495,1034754
22000;0;22.01.2015;01.02.2015;1775449;999999;1054;3;499,2;229,568
22000;1;22.01.2015;01.02.2015;1775449;999999;1292;2;586,48;194,32
22001;0;22.01.2015;22.01.2015;1019949;390;217;5;367,920048;169,1905869
22001;1;22.01.2015;22.01.2015;1019949;390;1629;4;3,94369236;2,00934876
22001;2;22.01.2015;22.01.2015;1019949;390;1661;3;2,533069;1,2895624
22001;3;22.01.2015;22.01.2015;1019949;390;1608;2;43,42009236;22,13836512
22001;4;22.01.2015;22.01.2015;1019949;390;84;3;49,34056545;22,6890609
22001;5;22.01.2015;22.01.2015;1019949;390;1689;3;2,29357884;1,16981732
22001;6;22.01.2015;22.01.2015;1019949;390;1617;2;22,89236436;10,52835588
22002;0;22.01.2015;22.01.2015;2004116;570;135;3;279,96;128,744
22002;1;22.01.2015;22.01.2015;2004116;570;1213;1;272;138,672
22003;0;22.01.2015;22.01.2015;1199543;410;1338;1;39,06979308;17,96570964
22003;1;22.01.2015;22.01.2015;1199543;410;2321;2;113,4897155;52,1878008
22003;2;22.01.2015;22.01.2015;1199543;410;78;1;20,00960025;9,20293575
22003;3;22.01.2015;22.01.2015;1199543;410;1603;1;43,42009236;22,13836512
22004;0;22.01.2015;31.01.2015;1506990;999999;54;6;222;73,5525
22004;1;22.01.2015;31.01.2015;1506990;999999;1587;2;10,794;4,962
22005;0;22.01.2015;22.01.2015;1551763;660;1621;2;7,794;3,972
22005;1;22.01.2015;22.01.2015;1551763;660;1579;3;131,4;43,536
22006;0;22.01.2015;22.01.2015;2012580;590;559;1;627,5;288,575
22007;0;22.01.2015;22.01.2015;721694;290;684;1;344,292;158,3312835
22008;0;22.01.2015;22.01.2015;523274;250;532;2;557,322675;256,3038758
22008;1;22.01.2015;22.01.2015;523274;250;2073;1;429,8959022;142,4336004
23000;0;23.01.2015;23.01.2015;1986429;605;76;1;28,4625;13,0875
23000;1;23.01.2015;23.01.2015;1986429;605;1408;1;952,2;315,486
23001;0;23.01.2015;30.01.2015;314213;999999;1428;6;600,39504;276,0921072
23002;0;23.01.2015;23.01.2015;1862342;450;1769;1;23,8;10,948
23002;1;23.01.2015;23.01.2015;1862342;450;438;2;2297,5;761,2
23002;2;23.01.2015;23.01.2015;1862342;450;187;1;103,92;34,432
23002;3;23.01.2015;23.01.2015;1862342;450;498;8;322,5;164,425
23003;0;23.01.2015;23.01.2015;1711446;480;67;7;19,2675;9,825
23003;1;23.01.2015;23.01.2015;1711446;480;90;8;112,4925;37,2675
23004;0;23.01.2015;23.01.2015;2052576;440;1797;2;30,1;15,344
23004;1;23.01.2015;23.01.2015;2052576;440;1145;1;905,6;416,448
23005;0;23.01.2015;23.01.2015;1670773;550;1601;4;95,994;44,142
23005;1;23.01.2015;23.01.2015;1670773;550;1621;2;7,794;3,972
