Date;26.04.2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date;DateKey;Year;YearQuarter;YearQuarterNumber;Quarter;YearMonth;YearMonthShort;YearMonthNumber;Month;MonthShort;MonthNumber;DayofWeek;DayofWeekShort;DayofWeekNumber;WorkingDay;WorkingDayNumber
28.01.2015;20150128;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Wednesday;Wed;4;1;18
29.01.2015;20150129;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Thursday;Thu;5;1;19
30.01.2015;20150130;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Friday;Fri;6;1;20
31.01.2015;20150131;2015;Q1-2015;8061;Q1;01.01.2015;01.01.2015;24181;January;Jan;1;Saturday;Sat;7;0;20
01.02.2015;20150201;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Sunday;Sun;1;0;20
02.02.2015;20150202;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Monday;Mon;2;1;21
03.02.2015;20150203;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Tuesday;Tue;3;1;22
04.02.2015;20150204;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Wednesday;Wed;4;1;23
05.02.2015;20150205;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Thursday;Thu;5;1;24
06.02.2015;20150206;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Friday;Fri;6;1;25
07.02.2015;20150207;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Saturday;Sat;7;0;25
08.02.2015;20150208;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Sunday;Sun;1;0;25
09.02.2015;20150209;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Monday;Mon;2;1;26
10.02.2015;20150210;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Tuesday;Tue;3;1;27
11.02.2015;20150211;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Wednesday;Wed;4;1;28
12.02.2015;20150212;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Thursday;Thu;5;1;29
13.02.2015;20150213;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Friday;Fri;6;1;30
14.02.2015;20150214;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Saturday;Sat;7;0;30
15.02.2015;20150215;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Sunday;Sun;1;0;30
16.02.2015;20150216;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Monday;Mon;2;0;30
17.02.2015;20150217;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Tuesday;Tue;3;1;31
18.02.2015;20150218;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Wednesday;Wed;4;1;32
19.02.2015;20150219;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Thursday;Thu;5;1;33
20.02.2015;20150220;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Friday;Fri;6;1;34
21.02.2015;20150221;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Saturday;Sat;7;0;34
22.02.2015;20150222;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Sunday;Sun;1;0;34
23.02.2015;20150223;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Monday;Mon;2;1;35
24.02.2015;20150224;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Tuesday;Tue;3;1;36
25.02.2015;20150225;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Wednesday;Wed;4;1;37
26.02.2015;20150226;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Thursday;Thu;5;1;38
27.02.2015;20150227;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Friday;Fri;6;1;39
28.02.2015;20150228;2015;Q1-2015;8061;Q1;01.02.2015;01.02.2015;24182;February;Feb;2;Saturday;Sat;7;0;39
01.03.2015;20150301;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Sunday;Sun;1;0;39
02.03.2015;20150302;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Monday;Mon;2;1;40
03.03.2015;20150303;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Tuesday;Tue;3;1;41
04.03.2015;20150304;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Wednesday;Wed;4;1;42
05.03.2015;20150305;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Thursday;Thu;5;1;43
06.03.2015;20150306;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Friday;Fri;6;1;44
07.03.2015;20150307;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Saturday;Sat;7;0;44
08.03.2015;20150308;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Sunday;Sun;1;0;44
09.03.2015;20150309;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Monday;Mon;2;1;45
10.03.2015;20150310;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Tuesday;Tue;3;1;46
11.03.2015;20150311;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Wednesday;Wed;4;1;47
12.03.2015;20150312;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Thursday;Thu;5;1;48
13.03.2015;20150313;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Friday;Fri;6;1;49
14.03.2015;20150314;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Saturday;Sat;7;0;49
15.03.2015;20150315;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Sunday;Sun;1;0;49
16.03.2015;20150316;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Monday;Mon;2;1;50
17.03.2015;20150317;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Tuesday;Tue;3;1;51
18.03.2015;20150318;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Wednesday;Wed;4;1;52
19.03.2015;20150319;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Thursday;Thu;5;1;53
20.03.2015;20150320;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Friday;Fri;6;1;54
21.03.2015;20150321;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Saturday;Sat;7;0;54
22.03.2015;20150322;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Sunday;Sun;1;0;54
23.03.2015;20150323;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Monday;Mon;2;1;55
24.03.2015;20150324;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Tuesday;Tue;3;1;56
25.03.2015;20150325;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Wednesday;Wed;4;1;57
26.03.2015;20150326;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Thursday;Thu;5;1;58
27.03.2015;20150327;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Friday;Fri;6;1;59
28.03.2015;20150328;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Saturday;Sat;7;0;59
29.03.2015;20150329;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Sunday;Sun;1;0;59
30.03.2015;20150330;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Monday;Mon;2;1;60
31.03.2015;20150331;2015;Q1-2015;8061;Q1;01.03.2015;01.03.2015;24183;March;Mar;3;Tuesday;Tue;3;1;61
01.04.2015;20150401;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Wednesday;Wed;4;1;62
02.04.2015;20150402;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Thursday;Thu;5;1;63
03.04.2015;20150403;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Friday;Fri;6;1;64
04.04.2015;20150404;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Saturday;Sat;7;0;64
05.04.2015;20150405;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Sunday;Sun;1;0;64
06.04.2015;20150406;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Monday;Mon;2;1;65
07.04.2015;20150407;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Tuesday;Tue;3;1;66
08.04.2015;20150408;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Wednesday;Wed;4;1;67
09.04.2015;20150409;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Thursday;Thu;5;1;68
10.04.2015;20150410;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Friday;Fri;6;1;69
11.04.2015;20150411;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Saturday;Sat;7;0;69
12.04.2015;20150412;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Sunday;Sun;1;0;69
13.04.2015;20150413;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Monday;Mon;2;1;70
14.04.2015;20150414;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Tuesday;Tue;3;1;71
15.04.2015;20150415;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Wednesday;Wed;4;1;72
16.04.2015;20150416;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Thursday;Thu;5;1;73
17.04.2015;20150417;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Friday;Fri;6;1;74
18.04.2015;20150418;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Saturday;Sat;7;0;74
19.04.2015;20150419;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Sunday;Sun;1;0;74
20.04.2015;20150420;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Monday;Mon;2;1;75
21.04.2015;20150421;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Tuesday;Tue;3;1;76
22.04.2015;20150422;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Wednesday;Wed;4;1;77
23.04.2015;20150423;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Thursday;Thu;5;1;78
24.04.2015;20150424;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Friday;Fri;6;1;79
25.04.2015;20150425;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Saturday;Sat;7;0;79
26.04.2015;20150426;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Sunday;Sun;1;0;79
27.04.2015;20150427;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Monday;Mon;2;1;80
28.04.2015;20150428;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Tuesday;Tue;3;1;81
29.04.2015;20150429;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Wednesday;Wed;4;1;82
30.04.2015;20150430;2015;Q2-2015;8062;Q2;01.04.2015;01.04.2015;24184;April;Apr;4;Thursday;Thu;5;1;83
01.05.2015;20150501;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Friday;Fri;6;1;84
02.05.2015;20150502;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Saturday;Sat;7;0;84
03.05.2015;20150503;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Sunday;Sun;1;0;84
04.05.2015;20150504;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Monday;Mon;2;1;85
05.05.2015;20150505;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Tuesday;Tue;3;1;86
06.05.2015;20150506;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Wednesday;Wed;4;1;87
07.05.2015;20150507;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Thursday;Thu;5;1;88
08.05.2015;20150508;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Friday;Fri;6;1;89
09.05.2015;20150509;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Saturday;Sat;7;0;89
10.05.2015;20150510;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Sunday;Sun;1;0;89
11.05.2015;20150511;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Monday;Mon;2;1;90
12.05.2015;20150512;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Tuesday;Tue;3;1;91
13.05.2015;20150513;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Wednesday;Wed;4;1;92
14.05.2015;20150514;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Thursday;Thu;5;1;93
15.05.2015;20150515;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Friday;Fri;6;1;94
16.05.2015;20150516;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Saturday;Sat;7;0;94
17.05.2015;20150517;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Sunday;Sun;1;0;94
18.05.2015;20150518;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Monday;Mon;2;1;95
19.05.2015;20150519;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Tuesday;Tue;3;1;96
20.05.2015;20150520;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Wednesday;Wed;4;1;97
21.05.2015;20150521;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Thursday;Thu;5;1;98
22.05.2015;20150522;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Friday;Fri;6;1;99
23.05.2015;20150523;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Saturday;Sat;7;0;99
24.05.2015;20150524;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Sunday;Sun;1;0;99
25.05.2015;20150525;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Monday;Mon;2;0;99
26.05.2015;20150526;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Tuesday;Tue;3;1;100
27.05.2015;20150527;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Wednesday;Wed;4;1;101
28.05.2015;20150528;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Thursday;Thu;5;1;102
29.05.2015;20150529;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Friday;Fri;6;1;103
30.05.2015;20150530;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Saturday;Sat;7;0;103
31.05.2015;20150531;2015;Q2-2015;8062;Q2;01.05.2015;01.05.2015;24185;May;May;5;Sunday;Sun;1;0;103
01.06.2015;20150601;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Monday;Mon;2;1;104
02.06.2015;20150602;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Tuesday;Tue;3;1;105
03.06.2015;20150603;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Wednesday;Wed;4;1;106
04.06.2015;20150604;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Thursday;Thu;5;1;107
05.06.2015;20150605;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Friday;Fri;6;1;108
06.06.2015;20150606;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Saturday;Sat;7;0;108
07.06.2015;20150607;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Sunday;Sun;1;0;108
08.06.2015;20150608;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Monday;Mon;2;1;109
09.06.2015;20150609;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Tuesday;Tue;3;1;110
10.06.2015;20150610;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Wednesday;Wed;4;1;111
11.06.2015;20150611;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Thursday;Thu;5;1;112
12.06.2015;20150612;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Friday;Fri;6;1;113
13.06.2015;20150613;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Saturday;Sat;7;0;113
14.06.2015;20150614;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Sunday;Sun;1;0;113
15.06.2015;20150615;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Monday;Mon;2;1;114
16.06.2015;20150616;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Tuesday;Tue;3;1;115
17.06.2015;20150617;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Wednesday;Wed;4;1;116
18.06.2015;20150618;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Thursday;Thu;5;1;117
19.06.2015;20150619;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Friday;Fri;6;1;118
20.06.2015;20150620;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Saturday;Sat;7;0;118
21.06.2015;20150621;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Sunday;Sun;1;0;118
22.06.2015;20150622;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Monday;Mon;2;1;119
23.06.2015;20150623;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Tuesday;Tue;3;1;120
24.06.2015;20150624;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Wednesday;Wed;4;1;121
25.06.2015;20150625;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Thursday;Thu;5;1;122
26.06.2015;20150626;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Friday;Fri;6;1;123
27.06.2015;20150627;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Saturday;Sat;7;0;123
28.06.2015;20150628;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Sunday;Sun;1;0;123
29.06.2015;20150629;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Monday;Mon;2;1;124
30.06.2015;20150630;2015;Q2-2015;8062;Q2;01.06.2015;01.06.2015;24186;June;Jun;6;Tuesday;Tue;3;1;125
01.07.2015;20150701;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Wednesday;Wed;4;1;126
02.07.2015;20150702;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Thursday;Thu;5;1;127
03.07.2015;20150703;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Friday;Fri;6;0;127
04.07.2015;20150704;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Saturday;Sat;7;0;127
05.07.2015;20150705;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Sunday;Sun;1;0;127
06.07.2015;20150706;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Monday;Mon;2;1;128
07.07.2015;20150707;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Tuesday;Tue;3;1;129
08.07.2015;20150708;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Wednesday;Wed;4;1;130
09.07.2015;20150709;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Thursday;Thu;5;1;131
10.07.2015;20150710;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Friday;Fri;6;1;132
11.07.2015;20150711;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Saturday;Sat;7;0;132
12.07.2015;20150712;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Sunday;Sun;1;0;132
13.07.2015;20150713;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Monday;Mon;2;1;133
14.07.2015;20150714;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Tuesday;Tue;3;1;134
15.07.2015;20150715;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Wednesday;Wed;4;1;135
16.07.2015;20150716;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Thursday;Thu;5;1;136
17.07.2015;20150717;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Friday;Fri;6;1;137
18.07.2015;20150718;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Saturday;Sat;7;0;137
19.07.2015;20150719;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Sunday;Sun;1;0;137
20.07.2015;20150720;2015;Q3-2015;8063;Q3;01.07.2015;01.07.2015;24187;July;Jul;7;Monday;Mon;2;1;138
